External_Id__c,Installation__r.External_Id__c,Quantity__c,Arrival_Date__c,Serial_Prefix__c,Cost__c
HEL-BATCH-001,HEL-INST-001,16,2025-11-20,HS2024-89,3051.00
HEL-BATCH-002,HEL-INST-001,25,2026-02-27,HS2026-93,4043.00
HEL-BATCH-003,HEL-INST-001,11,2026-01-20,HS2025-18,2401.00
HEL-BATCH-004,HEL-INST-002,23,2025-11-16,HS2026-01,3480.00
HEL-BATCH-005,HEL-INST-002,16,2026-02-06,HS2026-81,4291.00
HEL-BATCH-006,HEL-INST-003,27,2025-11-06,HS2026-18,4045.00
HEL-BATCH-007,HEL-INST-003,23,2025-11-12,HS2024-88,2929.00
HEL-BATCH-008,HEL-INST-003,14,2025-12-24,HS2026-06,4239.00
HEL-BATCH-009,HEL-INST-004,30,2026-02-03,HS2024-69,2341.00
HEL-BATCH-010,HEL-INST-004,19,2025-10-19,HS2025-70,2054.00
HEL-BATCH-011,HEL-INST-005,22,2026-02-24,HS2024-43,1074.00
HEL-BATCH-012,HEL-INST-005,32,2025-11-10,HS2026-64,2639.00
HEL-BATCH-013,HEL-INST-005,9,2025-11-20,HS2025-65,3754.00
HEL-BATCH-014,HEL-INST-006,32,2026-02-04,HS2025-18,1236.00
HEL-BATCH-015,HEL-INST-006,17,2026-01-05,HS2024-90,4618.00
HEL-BATCH-016,HEL-INST-007,16,2025-12-05,HS2026-56,3622.00
HEL-BATCH-017,HEL-INST-007,14,2025-11-14,HS2025-38,1077.00
HEL-BATCH-018,HEL-INST-007,17,2025-12-12,HS2024-88,3497.00
HEL-BATCH-019,HEL-INST-008,25,2026-02-18,HS2026-52,1923.00
HEL-BATCH-020,HEL-INST-008,12,2025-10-31,HS2025-79,1066.00
HEL-BATCH-021,HEL-INST-009,20,2025-11-17,HS2025-51,2028.00
HEL-BATCH-022,HEL-INST-009,20,2025-12-08,HS2025-45,2814.00
HEL-BATCH-023,HEL-INST-010,31,2025-12-02,HS2025-71,1652.00
HEL-BATCH-024,HEL-INST-010,24,2026-02-25,HS2024-54,3242.00
HEL-BATCH-025,HEL-INST-010,17,2025-11-04,HS2024-23,3019.00
HEL-BATCH-026,HEL-INST-011,12,2025-10-19,HS2024-34,903.00
HEL-BATCH-027,HEL-INST-011,20,2026-02-19,HS2026-84,2541.00
HEL-BATCH-028,HEL-INST-012,8,2025-11-09,HS2026-49,1153.00
HEL-BATCH-029,HEL-INST-012,18,2026-02-17,HS2024-52,1241.00
HEL-BATCH-030,HEL-INST-013,18,2026-03-08,HS2026-25,2427.00
HEL-BATCH-031,HEL-INST-013,28,2026-01-13,HS2024-28,3705.00
HEL-BATCH-032,HEL-INST-013,25,2025-12-29,HS2026-42,3739.00
HEL-BATCH-033,HEL-INST-014,28,2025-11-18,HS2024-01,2722.00
HEL-BATCH-034,HEL-INST-014,18,2025-11-05,HS2026-28,2199.00
HEL-BATCH-035,HEL-INST-014,31,2025-11-12,HS2026-27,4251.00
HEL-BATCH-036,HEL-INST-015,23,2025-10-22,HS2026-77,3855.00
HEL-BATCH-037,HEL-INST-015,13,2025-11-25,HS2026-19,4290.00
HEL-BATCH-038,HEL-INST-015,12,2025-12-24,HS2025-03,1477.00
HEL-BATCH-039,HEL-INST-016,23,2026-01-27,HS2025-10,4077.00
HEL-BATCH-040,HEL-INST-016,23,2026-03-12,HS2025-09,2778.00
HEL-BATCH-041,HEL-INST-017,22,2025-11-19,HS2025-44,2726.00
HEL-BATCH-042,HEL-INST-017,9,2026-01-16,HS2024-82,2726.00
HEL-BATCH-043,HEL-INST-018,18,2025-11-20,HS2024-29,3367.00
HEL-BATCH-044,HEL-INST-018,19,2025-10-30,HS2025-70,2258.00
HEL-BATCH-045,HEL-INST-018,21,2026-02-17,HS2025-25,3055.00
HEL-BATCH-046,HEL-INST-019,13,2025-11-28,HS2025-42,4153.00
HEL-BATCH-047,HEL-INST-019,23,2025-10-21,HS2026-74,3564.00
HEL-BATCH-048,HEL-INST-019,10,2026-02-09,HS2024-24,2798.00
HEL-BATCH-049,HEL-INST-020,14,2026-03-14,HS2026-09,2160.00
HEL-BATCH-050,HEL-INST-020,10,2026-02-06,HS2026-90,4574.00
HEL-BATCH-051,HEL-INST-020,15,2026-01-04,HS2024-11,3060.00
HEL-BATCH-052,HEL-INST-021,16,2026-03-01,HS2024-97,2604.00
HEL-BATCH-053,HEL-INST-021,23,2025-11-12,HS2024-39,1420.00
HEL-BATCH-054,HEL-INST-022,12,2026-03-07,HS2026-33,4264.00
HEL-BATCH-055,HEL-INST-022,28,2026-01-08,HS2024-10,2953.00
HEL-BATCH-056,HEL-INST-022,23,2025-10-31,HS2025-76,2660.00
HEL-BATCH-057,HEL-INST-023,15,2025-11-20,HS2026-10,2160.00
HEL-BATCH-058,HEL-INST-023,31,2026-01-14,HS2024-04,4263.00
HEL-BATCH-059,HEL-INST-024,27,2025-10-29,HS2026-19,2320.00
HEL-BATCH-060,HEL-INST-024,17,2025-12-22,HS2025-88,3388.00
HEL-BATCH-061,HEL-INST-024,15,2026-02-07,HS2025-82,3415.00
HEL-BATCH-062,HEL-INST-025,14,2026-01-05,HS2026-51,4721.00
HEL-BATCH-063,HEL-INST-025,22,2025-10-25,HS2025-36,4418.00
HEL-BATCH-064,HEL-INST-025,15,2026-01-12,HS2026-83,2585.00
HEL-BATCH-065,HEL-INST-026,32,2026-02-03,HS2026-33,1006.00
HEL-BATCH-066,HEL-INST-026,9,2025-11-06,HS2025-01,2689.00
HEL-BATCH-067,HEL-INST-026,21,2025-12-21,HS2025-92,2947.00
HEL-BATCH-068,HEL-INST-027,14,2026-02-12,HS2025-85,3243.00
HEL-BATCH-069,HEL-INST-027,25,2025-12-18,HS2024-84,4118.00
HEL-BATCH-070,HEL-INST-028,24,2025-12-01,HS2025-11,1703.00
