"Id","Name","Type","Industry","BillingCity","BillingCountry","Phone","Description"
"XZ0F3EGWXPC8U8QGVF","Sevilla Housing 01","Customer - Channel","Construction","Sevilla","Spain","+34 939 183 479","Seeded by the sfdx-hardis training. Not a real customer."
"6HLKOALARN92HP1IVI","Sevilla Energy Coop 02","Customer - Direct","Real Estate","Sevilla","Spain","+34 989 287 720","Seeded by the sfdx-hardis training. Not a real customer."
"8OLFJXDUMOXNK9VO85","Athina Villas 03","Customer - Direct","Construction","Athina","Greece","+34 938 384 613","Seeded by the sfdx-hardis training. Not a real customer."
"UBH9NLYKZBQ4RHSKC2","Bari Terraces 04","Customer - Channel","Construction","Bari","Italy","+34 935 427 711","Seeded by the sfdx-hardis training. Not a real customer."
"VCUVH7FMMWRTBU2OCZ","Sevilla Terraces 05","Customer - Channel","Real Estate","Sevilla","Spain","+34 979 468 868","Seeded by the sfdx-hardis training. Not a real customer."
"YOMMLCMI2P2QCZJEOH","Marseille Housing 06","Customer - Direct","Energy","Marseille","France","+34 922 448 321","Seeded by the sfdx-hardis training. Not a real customer."
"WJYJRV0EXFIS0EM2LX","Faro Terraces 07","Prospect","Energy","Faro","Portugal","+34 980 954 960","Seeded by the sfdx-hardis training. Not a real customer."
"DCFECAXZPHY1OJWRTI","Malaga Estates 08","Prospect","Construction","Malaga","Spain","+34 916 385 877","Seeded by the sfdx-hardis training. Not a real customer."
"KQNXOHIMSJIMWNMZVT","Valencia Terraces 09","Customer - Direct","Construction","Valencia","Spain","+34 995 809 126","Seeded by the sfdx-hardis training. Not a real customer."
"7A8YHWSFGITMLMJJU5","Lisboa Residences 10","Customer - Direct","Real Estate","Lisboa","Portugal","+34 988 486 857","Seeded by the sfdx-hardis training. Not a real customer."
"JEHPNPEBYTRAWS4RNG","Perpignan Residences 11","Prospect","Energy","Perpignan","France","+34 977 310 176","Seeded by the sfdx-hardis training. Not a real customer."
"GHOGLNY1095UUF8NDZ","Sevilla Residences 12","Prospect","Real Estate","Sevilla","Spain","+34 945 815 718","Seeded by the sfdx-hardis training. Not a real customer."
"OEOHTVJDU9BOH24R1G","Bari Properties 13","Prospect","Real Estate","Bari","Italy","+34 926 431 277","Seeded by the sfdx-hardis training. Not a real customer."
"CIYOOO8MLPBCAQIN0E","Bari Residences 14","Customer - Channel","Energy","Bari","Italy","+34 993 744 481","Seeded by the sfdx-hardis training. Not a real customer."
"KRLU93S6QW7PZGBHKY","Lisboa Homes 15","Prospect","Construction","Lisboa","Portugal","+34 988 515 485","Seeded by the sfdx-hardis training. Not a real customer."
"PTCL4LR1MRZGPPYJYW","Cagliari Residences 16","Customer - Direct","Real Estate","Cagliari","Italy","+34 963 545 110","Seeded by the sfdx-hardis training. Not a real customer."
"EWHS8MR6AGNPNGBAVU","Montpellier Housing 17","Prospect","Real Estate","Montpellier","France","+34 982 172 365","Seeded by the sfdx-hardis training. Not a real customer."
"HE6QDECODZ7H1U7MKQ","Thessaloniki Rooftops 18","Prospect","Construction","Thessaloniki","Greece","+34 975 707 172","Seeded by the sfdx-hardis training. Not a real customer."
"SIZAVZXAL3H4IASLYH","Bari Properties 19","Customer - Direct","Energy","Bari","Italy","+34 946 940 446","Seeded by the sfdx-hardis training. Not a real customer."
"RLGINXYUYDBO2BE3Z9","Palermo Solar Club 20","Customer - Direct","Real Estate","Palermo","Italy","+34 911 558 644","Seeded by the sfdx-hardis training. Not a real customer."
"TZCH2ELW1BZ10VJ2YQ","Faro Estates 21","Prospect","Construction","Faro","Portugal","+34 913 954 279","Seeded by the sfdx-hardis training. Not a real customer."
"A3G4E630PLN3I1PYX1","Bari Homes 22","Prospect","Energy","Bari","Italy","+34 936 496 831","Seeded by the sfdx-hardis training. Not a real customer."
"94CHXBF5AQ6CIXHHAV","Athina Energy Coop 23","Customer - Channel","Construction","Athina","Greece","+34 950 133 411","Seeded by the sfdx-hardis training. Not a real customer."
"XVOFN2REG7ULDUNIQG","Montpellier Residences 24","Prospect","Construction","Montpellier","France","+34 939 863 723","Seeded by the sfdx-hardis training. Not a real customer."
"I21EKGCCIBAV8UNY7L","Faro Energy Coop 25","Prospect","Real Estate","Faro","Portugal","+34 985 272 408","Seeded by the sfdx-hardis training. Not a real customer."
"ORDQFUUG6MPUNV9RRJ","Montpellier Homes 26","Customer - Channel","Real Estate","Montpellier","France","+34 919 402 494","Seeded by the sfdx-hardis training. Not a real customer."
"EDPQKXVTSD78EXNFX3","Faro Housing 27","Customer - Channel","Construction","Faro","Portugal","+34 937 119 722","Seeded by the sfdx-hardis training. Not a real customer."
"HPASGICE1PSXV96JEJ","Malaga Villas 28","Customer - Channel","Energy","Malaga","Spain","+34 910 341 940","Seeded by the sfdx-hardis training. Not a real customer."
"Q2X6WPDI7JMFGVW1JY","Valencia Villas 29","Customer - Channel","Real Estate","Valencia","Spain","+34 970 454 720","Seeded by the sfdx-hardis training. Not a real customer."
"XAEESXBX4ZRTSLWCG5","Montpellier Properties 30","Customer - Direct","Real Estate","Montpellier","France","+34 965 687 971","Seeded by the sfdx-hardis training. Not a real customer."
"ULCK1WSPLDBYHJDJBO","Lisboa Residences 31","Customer - Channel","Real Estate","Lisboa","Portugal","+34 976 974 961","Seeded by the sfdx-hardis training. Not a real customer."
"RAEDGW1PR3F7FF36VF","Malaga Terraces 32","Customer - Direct","Construction","Malaga","Spain","+34 972 585 862","Seeded by the sfdx-hardis training. Not a real customer."
"AG5XIJVSTHBPFOKXRN","Bari Residences 33","Prospect","Energy","Bari","Italy","+34 912 375 655","Seeded by the sfdx-hardis training. Not a real customer."
"7OZKRVJ9Z9QCQ8UADN","Cagliari Homes 34","Customer - Direct","Energy","Cagliari","Italy","+34 925 139 132","Seeded by the sfdx-hardis training. Not a real customer."
