"Id","External_Id__c","Status__c","Install_Date__c","Roof_Type__c","Crew_Size__c","Total_Capacity_kW__c"
"L6WCCWTN5ZRT0BDKLR","HEL-INST-001","Completed","2025-11-04","Slate","#N/A","11.80"
"MWJ1CRRPS5SMNNCZKG","HEL-INST-002","Completed","2025-09-20","Slate","#N/A","6.40"
"STLUBN8DLXB4WIREO9","HEL-INST-003","Completed","2025-10-07","Metal","#N/A","8.60"
"YG5N3D3REGDVARCDAS","HEL-INST-004","Completed","2025-11-06","Metal","#N/A","6.50"
"1B1TEU42IVTMIORZYB","HEL-INST-005","Completed","2025-10-10","Tile","#N/A","5.70"
"WD6MCKRPI3IATZ0VAN","HEL-INST-006","Completed","2025-09-20","Metal","#N/A","5.80"
"Y8XN49QC6RWWZZSCI6","HEL-INST-007","Completed","2025-10-29","Tile","#N/A","13.00"
"JKHLJV1VVGU0BXG9WL","HEL-INST-008","Completed","2025-09-21","Slate","#N/A","10.60"
"VRIWRGNDZVMNEDHVSW","HEL-INST-009","In Progress","2026-01-22","Slate","#N/A","10.50"
"3D5YPVOHU9OBVC0AKN","HEL-INST-010","In Progress","2026-03-09","Metal","#N/A","7.00"
"IXV50YPQOTGG12NOL9","HEL-INST-011","In Progress","2026-03-23","Metal","#N/A","3.70"
"AJKEFGJ39L5Y4YV1GO","HEL-INST-012","In Progress","2026-02-09","Tile","#N/A","4.70"
"Y7QNJGYPPLANFWJBLM","HEL-INST-013","Scheduled","2026-02-13","Flat","#N/A","6.40"
"AVPBOZHBA0VBIEMOEX","HEL-INST-014","Scheduled","2026-03-17","Flat","#N/A","6.70"
"S0XIKNV3BZEARAEOME","HEL-INST-015","Scheduled","2026-02-11","Slate","#N/A","12.50"
"VSRJCRZ0BLSXNDPZLL","HEL-INST-016","Scheduled","2026-03-20","Tile","#N/A","8.40"
"V2OXZHJBF9Q6EITIWA","HEL-INST-017","Scheduled","2026-01-26","Tile","#N/A","5.50"
"2QSVQKTNC2VSGVBHS8","HEL-INST-018","Scheduled","2026-02-05","Metal","#N/A","4.10"
"SYK5HFFWGWIVEE7HTG","HEL-INST-019","Scheduled","2026-02-28","Tile","#N/A","11.80"
"BRD3PYHAI0BWX4APAB","HEL-INST-020","Scheduled","2026-03-03","Flat","#N/A","14.00"
"JEUE11TVBGSAMAUUYF","HEL-INST-021","Planned","2026-02-18","Metal","#N/A","12.30"
"NNYYRYDTQWHSQNUGMH","HEL-INST-022","Planned","2026-03-24","Tile","#N/A","4.30"
"ZPEY1YTSTYL7RVSICM","HEL-INST-023","Planned","2026-03-07","Flat","#N/A","9.10"
"TWQMVSZXATBVSFPM9L","HEL-INST-024","Planned","2026-02-05","Flat","#N/A","7.00"
"S0TTNF6BE1AF5JFU4V","HEL-INST-025","Planned","2026-04-06","Flat","#N/A","3.10"
"LZJBIZSMSHQI6MG7OD","HEL-INST-026","Planned","2026-02-07","Tile","#N/A","10.80"
"CTMWFZ2WUJI5FXQZQK","HEL-INST-027","Planned","2026-01-25","Slate","#N/A","12.30"
"ZYUELTLA3XPJHQ5TIU","HEL-INST-028","Planned","2026-02-24","Metal","#N/A","8.10"
"TX3CTNRHPQYQGR6LBL","HEL-INST-029","Planned","2026-03-25","Tile","#N/A","11.20"
"TQVV3Q5EDVHZL9G0SH","HEL-INST-030","Planned","2026-03-07","Flat","#N/A","5.80"
