"Id","Name","StageName","CloseDate","Amount","Type"
"OPJJTKRW0J5FFPQ5GM","Bari Terraces 04 - Rooftop array 01","Proposal/Price Quote","2026-04-17","45000","New Customer"
"RN4P6JJY0FJGCV8W8U","Faro Terraces 07 - Rooftop array 02","Negotiation/Review","2026-02-22","62000","New Customer"
"JXCS416JZQIWLZOP26","Lisboa Residences 10 - Rooftop array 03","Proposal/Price Quote","2025-11-16","55000","New Customer"
"NASIDR7VZQQDBVHQLL","Bari Properties 13 - Rooftop array 04","Prospecting","2026-03-19","29000","New Customer"
"80D48OO0NJI1DV8JHN","Cagliari Residences 16 - Rooftop array 05","Proposal/Price Quote","2025-11-17","65000","New Customer"
"NSXQVDWVQ5KFGYEFIE","Bari Properties 19 - Rooftop array 06","Prospecting","2026-03-31","43000","New Customer"
"W8XLAKO0NQFBACJ009","Bari Homes 22 - Rooftop array 07","Proposal/Price Quote","2026-05-10","35000","New Customer"
"VSVY5VCNT47HJ8CTO5","Faro Energy Coop 25 - Rooftop array 08","Prospecting","2026-03-20","19000","New Customer"
"BYJOZFBEQJKJMDARZ2","Malaga Villas 28 - Rooftop array 09","Prospecting","2025-12-18","75000","New Customer"
"Z3FTVXEQMSL8PWD9L4","Lisboa Residences 31 - Rooftop array 10","Proposal/Price Quote","2025-11-22","70000","New Customer"
"DUVT8700WLJ4FU1SV1","Cagliari Homes 34 - Rooftop array 11","Closed Won","2026-05-08","34000","New Customer"
"WW3HSS4SQPJRNW90J1","Athina Housing 37 - Rooftop array 12","Prospecting","2025-12-25","47000","New Customer"
"CIOJZJGU48MPIEWBNK","Cagliari Terraces 40 - Rooftop array 13","Proposal/Price Quote","2026-01-03","49000","New Customer"
"WJCKHPEIS72MECCM1V","Athina Villas 03 - Rooftop array 14","Prospecting","2026-05-10","21000","New Customer"
"KEXUAPZ9ZYRAET9IX0","Marseille Housing 06 - Rooftop array 15","Closed Won","2026-04-19","86000","New Customer"
"XF9VDZSLKI5O9W6KOR","Valencia Terraces 09 - Rooftop array 16","Negotiation/Review","2026-03-07","74000","New Customer"
"WIDS0JMUNR8IW8IPFF","Sevilla Residences 12 - Rooftop array 17","Negotiation/Review","2026-04-19","87000","New Customer"
"GKWXXTZUJ54W3PRXIX","Lisboa Homes 15 - Rooftop array 18","Prospecting","2025-12-20","41000","New Customer"
"YT6HBPGAAFVJURYIYT","Thessaloniki Rooftops 18 - Rooftop array 19","Negotiation/Review","2026-03-14","9000","New Customer"
"GRNPGR5NS6NERKHDTO","Faro Estates 21 - Rooftop array 20","Negotiation/Review","2026-02-25","59000","New Customer"
"ODOYOMDEYYQG3KV9TY","Montpellier Residences 24 - Rooftop array 21","Closed Won","2025-12-12","88000","New Customer"
"G9KCVDOEFZRQD8I0DH","Faro Housing 27 - Rooftop array 22","Closed Won","2025-12-03","80000","New Customer"
"BHQMESFHJXPILJLZX3","Montpellier Properties 30 - Rooftop array 23","Closed Won","2025-12-26","90000","New Customer"
"MKZ2X5HIQMESEEJ6TG","Bari Residences 33 - Rooftop array 24","Prospecting","2025-12-17","95000","New Customer"
"BYJOAQWUSAPQ2GUZHL","Palermo Villas 36 - Rooftop array 25","Negotiation/Review","2026-04-15","29000","New Customer"
