"Id","External_Id__c","Quantity__c","Arrival_Date__c","Serial_Prefix__c","Cost__c"
"69IAKFJE1V3WRHV2KR","HEL-BATCH-001","16","2025-11-20","HS2024-89","3051.00"
"V8FFK0S68WSZ6RJJCZ","HEL-BATCH-002","25","2026-02-27","HS2026-93","4043.00"
"THBRU8C2MTHPWPXLZJ","HEL-BATCH-003","11","2026-01-20","HS2025-18","2401.00"
"XNDBF8HJDU9XU26QEM","HEL-BATCH-004","23","2025-11-16","HS2026-01","3480.00"
"ZXVIN9HAYHB6QERYCT","HEL-BATCH-005","16","2026-02-06","HS2026-81","4291.00"
"I87HBY3XVMAPGFZZFI","HEL-BATCH-006","27","2025-11-06","HS2026-18","4045.00"
"IQ0ACZSDMLKZUYD7D2","HEL-BATCH-007","23","2025-11-12","HS2024-88","2929.00"
"7PSGUM2ODGVT3P9FT1","HEL-BATCH-008","14","2025-12-24","HS2026-06","4239.00"
"UOXN7AAMRBJHUQV3CQ","HEL-BATCH-009","30","2026-02-03","HS2024-69","2341.00"
"WZEOWVI2HRGSP8TQVU","HEL-BATCH-010","19","2025-10-19","HS2025-70","2054.00"
"YIY4MR5ORONE0MMWJ6","HEL-BATCH-011","22","2026-02-24","HS2024-43","1074.00"
"CLNRPWPTIDCPJTLDIE","HEL-BATCH-012","32","2025-11-10","HS2026-64","2639.00"
"AFDNKYMQ0WOWYEVHFQ","HEL-BATCH-013","9","2025-11-20","HS2025-65","3754.00"
"VAGOOIQWMZGMUM7I9P","HEL-BATCH-014","32","2026-02-04","HS2025-18","1236.00"
"VUD6FA4MIEXM3ALDRB","HEL-BATCH-015","17","2026-01-05","HS2024-90","4618.00"
"J2P0E9H3NUKVDMJXSB","HEL-BATCH-016","16","2025-12-05","HS2026-56","3622.00"
"SKVNMQZKFUEWJIC7U5","HEL-BATCH-017","14","2025-11-14","HS2025-38","1077.00"
"TWQRIBBFKFLIXW82IM","HEL-BATCH-018","17","2025-12-12","HS2024-88","3497.00"
"IZ28KYBEELFNMO1W0R","HEL-BATCH-019","25","2026-02-18","HS2026-52","1923.00"
"YQQI8LOWUICN57IV5H","HEL-BATCH-020","12","2025-10-31","HS2025-79","1066.00"
"FP4U389VPANRZ8PHYA","HEL-BATCH-021","20","2025-11-17","HS2025-51","2028.00"
"KF0NYIG927R7NWTYTR","HEL-BATCH-022","20","2025-12-08","HS2025-45","2814.00"
"PDZGETAYELJVERUGEI","HEL-BATCH-023","31","2025-12-02","HS2025-71","1652.00"
"GTCTT7HXKUCKGMFNGF","HEL-BATCH-024","24","2026-02-25","HS2024-54","3242.00"
"QSWXJOSA0OQTSPEVEV","HEL-BATCH-025","17","2025-11-04","HS2024-23","3019.00"
"QCROCDEU0OBFNPER7I","HEL-BATCH-026","12","2025-10-19","HS2024-34","903.00"
"XLUTRRYG9TROSDBWKX","HEL-BATCH-027","20","2026-02-19","HS2026-84","2541.00"
"IZISODW572SS8SIJEU","HEL-BATCH-028","8","2025-11-09","HS2026-49","1153.00"
"PYSKHFYVZL46HYOZ9E","HEL-BATCH-029","18","2026-02-17","HS2024-52","1241.00"
"77S4JXA91BZ3WVFNRS","HEL-BATCH-030","18","2026-03-08","HS2026-25","2427.00"
"O5VNFLMI7842GHR34O","HEL-BATCH-031","28","2026-01-13","HS2024-28","3705.00"
"ISOSRIGYO4ABZOSYXH","HEL-BATCH-032","25","2025-12-29","HS2026-42","3739.00"
"M0ST0HW1N0TGKQI8EK","HEL-BATCH-033","28","2025-11-18","HS2024-01","2722.00"
"JI0P6CTRBIEWQYNANY","HEL-BATCH-034","18","2025-11-05","HS2026-28","2199.00"
"VRCMVNBHCS7HJMAMH7","HEL-BATCH-035","31","2025-11-12","HS2026-27","4251.00"
"82PAGS3NVAXF2QFY21","HEL-BATCH-036","23","2025-10-22","HS2026-77","3855.00"
"LFHXPWCGHKL0QWDLBG","HEL-BATCH-037","13","2025-11-25","HS2026-19","4290.00"
"4FUE786TIZRQ2G91UM","HEL-BATCH-038","12","2025-12-24","HS2025-03","1477.00"
