"Id","External_Id__c","Status__c","Install_Date__c","Roof_Type__c","Crew_Size__c","Total_Capacity_kW__c","Errors"
"a00g800002FZ8HBAA1","HEL-INST-001","Completed","2025-11-04","Slate","#N/A","11.8","#N/A"
"a00g800002FZ8HCAA1","HEL-INST-002","Completed","2025-09-20","Slate","#N/A","6.4","#N/A"
"a00g800002FZ8HDAA1","HEL-INST-003","Completed","2025-10-07","Metal","#N/A","8.6","#N/A"
"a00g800002FZ8HEAA1","HEL-INST-004","Completed","2025-11-06","Metal","#N/A","6.5","#N/A"
"a00g800002FZ8HFAA1","HEL-INST-005","Completed","2025-10-10","Tile","#N/A","5.7","#N/A"
"a00g800002FZ8HGAA1","HEL-INST-006","Completed","2025-09-20","Metal","#N/A","5.8","#N/A"
"a00g800002FZ8HHAA1","HEL-INST-007","Completed","2025-10-29","Tile","#N/A","13","#N/A"
"a00g800002FZ8HIAA1","HEL-INST-008","Completed","2025-09-21","Slate","#N/A","10.6","#N/A"
"a00g800002FZ8HJAA1","HEL-INST-009","In Progress","2026-01-22","Slate","#N/A","10.5","#N/A"
"a00g800002FZ8HKAA1","HEL-INST-010","In Progress","2026-03-09","Metal","#N/A","7","#N/A"
"a00g800002FZ8HLAA1","HEL-INST-011","In Progress","2026-03-23","Metal","#N/A","3.7","#N/A"
"a00g800002FZ8HMAA1","HEL-INST-012","In Progress","2026-02-09","Tile","#N/A","4.7","#N/A"
"a00g800002FZ8HNAA1","HEL-INST-013","Scheduled","2026-02-13","Flat","#N/A","6.4","#N/A"
"a00g800002FZ8HOAA1","HEL-INST-014","Scheduled","2026-03-17","Flat","#N/A","6.7","#N/A"
"a00g800002FZ8HPAA1","HEL-INST-015","Scheduled","2026-02-11","Slate","#N/A","12.5","#N/A"
"a00g800002FZ8HQAA1","HEL-INST-016","Scheduled","2026-03-20","Tile","#N/A","8.4","#N/A"
"a00g800002FZ8HRAA1","HEL-INST-017","Scheduled","2026-01-26","Tile","#N/A","5.5","#N/A"
"a00g800002FZ8HSAA1","HEL-INST-018","Scheduled","2026-02-05","Metal","#N/A","4.1","#N/A"
"a00g800002FZ8HTAA1","HEL-INST-019","Scheduled","2026-02-28","Tile","#N/A","11.8","#N/A"
"a00g800002FZ8HUAA1","HEL-INST-020","Scheduled","2026-03-03","Flat","#N/A","14","#N/A"
"a00g800002FZ8HVAA1","HEL-INST-021","Planned","2026-02-18","Metal","#N/A","12.3","#N/A"
"a00g800002FZ8HWAA1","HEL-INST-022","Planned","2026-03-24","Tile","#N/A","4.3","#N/A"
"a00g800002FZ8HXAA1","HEL-INST-023","Planned","2026-03-07","Flat","#N/A","9.1","#N/A"
"a00g800002FZ8HYAA1","HEL-INST-024","Planned","2026-02-05","Flat","#N/A","7","#N/A"
"a00g800002FZ8HZAA1","HEL-INST-025","Planned","2026-04-06","Flat","#N/A","3.1","#N/A"
"a00g800002FZ8HaAAL","HEL-INST-026","Planned","2026-02-07","Tile","#N/A","10.8","#N/A"
"a00g800002FZ8HbAAL","HEL-INST-027","Planned","2026-01-25","Slate","#N/A","12.3","#N/A"
"a00g800002FZ8HcAAL","HEL-INST-028","Planned","2026-02-24","Metal","#N/A","8.1","#N/A"
"a00g800002FZ8HdAAL","HEL-INST-029","Planned","2026-03-25","Tile","#N/A","11.2","#N/A"
"a00g800002FZ8HeAAL","HEL-INST-030","Planned","2026-03-07","Flat","#N/A","5.8","#N/A"
