"Id","External_Id__c","Quantity__c","Arrival_Date__c","Serial_Prefix__c","Cost__c","Errors"
"a01g800000oK0dNAAS","HEL-BATCH-001","16","2025-11-20","HS2024-89","3051","#N/A"
"a01g800000oK0dOAAS","HEL-BATCH-002","25","2026-02-27","HS2026-93","4043","#N/A"
"a01g800000oK0dPAAS","HEL-BATCH-003","11","2026-01-20","HS2025-18","2401","#N/A"
"a01g800000oK0dQAAS","HEL-BATCH-004","23","2025-11-16","HS2026-01","3480","#N/A"
"a01g800000oK0dRAAS","HEL-BATCH-005","16","2026-02-06","HS2026-81","4291","#N/A"
"a01g800000oK0dSAAS","HEL-BATCH-006","27","2025-11-06","HS2026-18","4045","#N/A"
"a01g800000oK0dTAAS","HEL-BATCH-007","23","2025-11-12","HS2024-88","2929","#N/A"
"a01g800000oK0dUAAS","HEL-BATCH-008","14","2025-12-24","HS2026-06","4239","#N/A"
"a01g800000oK0dVAAS","HEL-BATCH-009","30","2026-02-03","HS2024-69","2341","#N/A"
"a01g800000oK0dWAAS","HEL-BATCH-010","19","2025-10-19","HS2025-70","2054","#N/A"
"a01g800000oK0dXAAS","HEL-BATCH-011","22","2026-02-24","HS2024-43","1074","#N/A"
"a01g800000oK0dYAAS","HEL-BATCH-012","32","2025-11-10","HS2026-64","2639","#N/A"
"a01g800000oK0dZAAS","HEL-BATCH-013","9","2025-11-20","HS2025-65","3754","#N/A"
"a01g800000oK0daAAC","HEL-BATCH-014","32","2026-02-04","HS2025-18","1236","#N/A"
"a01g800000oK0dbAAC","HEL-BATCH-015","17","2026-01-05","HS2024-90","4618","#N/A"
"a01g800000oK0dcAAC","HEL-BATCH-016","16","2025-12-05","HS2026-56","3622","#N/A"
"a01g800000oK0ddAAC","HEL-BATCH-017","14","2025-11-14","HS2025-38","1077","#N/A"
"a01g800000oK0deAAC","HEL-BATCH-018","17","2025-12-12","HS2024-88","3497","#N/A"
"a01g800000oK0dfAAC","HEL-BATCH-019","25","2026-02-18","HS2026-52","1923","#N/A"
"a01g800000oK0dgAAC","HEL-BATCH-020","12","2025-10-31","HS2025-79","1066","#N/A"
"a01g800000oK0dhAAC","HEL-BATCH-021","20","2025-11-17","HS2025-51","2028","#N/A"
"a01g800000oK0diAAC","HEL-BATCH-022","20","2025-12-08","HS2025-45","2814","#N/A"
"a01g800000oK0djAAC","HEL-BATCH-023","31","2025-12-02","HS2025-71","1652","#N/A"
"a01g800000oK0dkAAC","HEL-BATCH-024","24","2026-02-25","HS2024-54","3242","#N/A"
"a01g800000oK0dlAAC","HEL-BATCH-025","17","2025-11-04","HS2024-23","3019","#N/A"
"a01g800000oK0dmAAC","HEL-BATCH-026","12","2025-10-19","HS2024-34","903","#N/A"
"a01g800000oK0dnAAC","HEL-BATCH-027","20","2026-02-19","HS2026-84","2541","#N/A"
"a01g800000oK0doAAC","HEL-BATCH-028","8","2025-11-09","HS2026-49","1153","#N/A"
